Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
1;1;;Pogačar Tadej;UAE Team Emirates;3309;21st September 1998;Slovenia;66;1.76;3309;4490;5194;1837;226;7346
2;2;;Evenepoel Remco;Soudal - Quick Step;2843;25th January 2000;Belgium;61;1.71;2843;2254;3184;2759;120;3387
3;3;;Vingegaard Jonas;Jumbo-Visma;2715;10th December 1996;Denmark;60;1.75;2715;320;3681;1352;129;3984
4;4;;Roglič Primož;Jumbo-Visma;2526;29th October 1989;Slovenia;65;1.77;2526;1862;7084;4896;163;8408
5;5;;Philipsen Jasper;Alpecin - Deceuninck;2152;2nd March 1998;Belgium;75;1.76;2152;3278;349;152;4468;1386
6;6;;van Aert Wout;Jumbo-Visma;2060;15th September 1994;Belgium;78;1.90;2060;6810;1091;2586;1882;4133
7;7;;Pedersen Mads;Trek - Segafredo;2009;18th December 1995;Denmark;70;1.80;2009;3101;1038;1457;2358;1860
8;8;;Yates Adam;UAE Team Emirates;1947;7th August 1992;Great Britain;58;1.73;1947;2261;5882;1018;130;7292
9;9;;Hirschi Marc;UAE Team Emirates;1817;24th August 1998;Switzerland;61;1.74;1817;3080;1101;278;62;2574
10;10;;De Lie Arnaud;Lotto Dstny;1723;16th March 2002;Belgium;78;1.82;1723;2785;90;1;1003;708
11;11;;van der Poel Mathieu;Alpecin - Deceuninck;1719;19th January 1995;Netherlands;75;1.84;1719;5602;984;906;1424;2474
12;12;;Skjelmose Mattias;Trek - Segafredo;1595;26th September 2000;Denmark;65;1.80;1595;858;1425;652;118;1776
13;13;;Almeida João;UAE Team Emirates;1478;5th August 1998;Portugal;63;1.78;1478;405;3224;1884;152;3356
14;14;;Kooij Olav;Jumbo-Visma;1471;17th October 2001;Netherlands;72;1.84;1471;948;550;72;2108;328
15;15;;Ganna Filippo;INEOS Grenadiers;1460;25th July 1996;Italy;83;1.93;1460;565;693;4568;326;594
16;16;;Yates Simon;Team Jayco AlUla;1431;7th August 1992;Great Britain;58;1.72;1431;1080;4835;1133;193;6378
17;17;;Bilbao Pello;Bahrain - Victorious;1344;25th February 1990;Spain;60;1.74;1344;1207;3937;989;466;5341
18;18;;Landa Mikel;Bahrain - Victorious;1297;13th December 1989;Spain;61;1.72;1297;965;5425;204;102;6620
19;19;;Mohorič Matej;Bahrain - Victorious;1275;19th October 1994;Slovenia;72;1.86;1275;2615;2033;304;688;2943
20;20;;Laporte Christophe;Jumbo-Visma;1266;11th December 1992;France;76;1.91;1266;3566;785;851;2289;1246
21;21;;Kuss Sepp;Jumbo-Visma;1150;13th September 1994;United States;61;1.82;1150;164;2187;300;42;3181
22;22;;Pinot Thibaut;Groupama - FDJ;1146;29th May 1990;France;63;1.80;1146;1919;6903;1544;170;8798
23;23;;Pidcock Thomas;INEOS Grenadiers;1046;30th July 1999;Great Britain;58;1.70;1046;1675;591;65;200;1772
24;24;;Powless Neilson;EF Education - EasyPost;1042;3rd September 1996;United States;67;1.83;1042;1482;1479;726;280;1858
25;25;;Healy Ben;EF Education - EasyPost;1034;11th September 2000;Ireland;65;1.75;1034;667;217;240;20;578
26;26;;Gall Felix;AG2R Citroën Team;1015;27th February 1998;Austria;66;1.78;1015;209;734;57;2;1170
27;27;;Groves Kaden;Alpecin - Deceuninck;1012;23rd December 1998;Australia;76;1.76;1012;339;201;357;1080;954
28;28;;Costa Rui;Intermarché - Circus - Wanty;1002;5th October 1986;Portugal;69;1.83;1002;4263;6196;1575;618;7210
29;29;;Ciccone Giulio;Trek - Segafredo;1002;20th December 1994;Italy;58;1.76;1002;1111;1238;90;74;3246
30;30;;Jorgenson Matteo;Movistar Team;988;1st July 1999;United States;65;1.90;988;307;982;184;56;1214
31;31;;Vlasov Aleksandr;BORA - hansgrohe;972;23rd April 1996;Russia;68;1.86;972;1248;2883;794;86;3840
32;32;;Madouas Valentin;Groupama - FDJ;971;12th July 1996;France;71;1.79;971;2488;1054;93;136;2311
33;33;;Van Wilder Ilan;Soudal - Quick Step;968;14th May 2000;Belgium;64;1.71;968;309;863;464;18;1046
34;34;;Martin Guillaume;Cofidis;960;9th June 1993;France;55;1.73;960;2091;3325;6;73;4412
35;35;;Hindley Jai;BORA - hansgrohe;956;5th May 1996;Australia;60;1.75;956;353;2642;105;174;2868
36;36;;McNulty Brandon;UAE Team Emirates;934;2nd April 1998;United States;69;1.83;934;607;1598;1461;54;1821
37;37;;Vermeersch Florian;Lotto Dstny;922;12th March 1999;Belgium;85;1.93;922;1138;484;314;428;261
38;38;;Lutsenko Alexey;Astana Qazaqstan Team;916;7th September 1992;Kazakhstan;74;1.74;916;2242;3019;940;972;3314
39;39;;Benoot Tiesj;Jumbo-Visma;908;11th March 1994;Belgium;72;1.90;908;4371;1860;83;842;4150
40;40;;Gaudu David;Groupama - FDJ;906;10th October 1996;France;53;1.72;906;1500;2628;136;19;4067
41;41;;Merlier Tim;Soudal - Quick Step;900;30th October 1992;Belgium;76;1.88;900;2968;79;3;3654;152
42;42;;Küng Stefan;Groupama - FDJ;893;16th November 1993;Switzerland;83;1.93;893;2264;1572;4836;454;1414
43;43;;Groenewegen Dylan;Team Jayco AlUla;891;21st June 1993;Netherlands;70;1.77;891;3475;325;15;7057;554
44;44;;Zingle Axel;Cofidis;888;18th December 1998;France;67;1.73;888;1148;327;145;224;582
45;45;;Ayuso Juan;UAE Team Emirates;882;16th September 2002;Spain;65;1.83;882;475;985;562;2;1444
46;46;;O'Connor Ben;AG2R Citroën Team;880;25th November 1995;Australia;67;1.88;880;353;2352;380;46;2419
47;47;;Rodríguez Carlos;INEOS Grenadiers;873;2nd February 2001;Spain;67;1.83;873;479;1236;233;14;1587
48;48;;Rubio Einer;Movistar Team;857;22nd February 1998;Colombia;56;1.64;857;84;963;48;6;1112
49;49;;Buitrago Santiago;Bahrain - Victorious;845;26th September 1999;Colombia;59;1.74;845;236;943;32;43;1217
50;50;;Woods Michael;Israel - Premier Tech;832;12th October 1986;Canada;64;1.75;832;2906;2206;40;186;5090
51;51;;Bardet Romain;Team DSM;827;9th November 1990;France;65;1.85;827;2983;6109;371;254;8872
52;52;;Mas Enric;Movistar Team;819;7th January 1995;Spain;61;1.77;819;742;3773;591;56;4972
53;53;;Johannessen Tobias Halland;Uno-X Pro Cycling Team;817;23rd August 1999;Norway;62;1.76;817;327;767;51;26;1154
54;54;;Bagioli Andrea;Soudal - Quick Step;816;23rd March 1999;Italy;60;1.76;816;1158;300;108;15;1452
55;55;;Sivakov Pavel;INEOS Grenadiers;805;11th July 1997;France;70;1.88;805;840;1987;484;39;1899
56;56;;Aranburu Alex;Movistar Team;804;19th September 1995;Spain;63;1.78;804;1523;662;220;368;2412
57;57;;Izagirre Ion;Cofidis;773;4th February 1989;Spain;60;1.73;773;1688;5282;2976;168;5458
58;58;;Caruso Damiano;Bahrain - Victorious;768;12th October 1987;Italy;67;1.79;768;835;4392;1256;605;5260
59;59;;Thijssen Gerben;Intermarché - Circus - Wanty;763;21st June 1998;Belgium;74;1.74;763;1267;36;21;1634;12
60;60;;Grégoire Romain;Groupama - FDJ;757;21st January 2003;France;64;1.76;757;337;337;74;31;534
61;61;;Kristoff Alexander;Uno-X Pro Cycling Team;756;5th July 1987;Norway;78;1.83;756;10558;2224;299;9196;3852
62;62;;Tiller Rasmus;Uno-X Pro Cycling Team;755;28th July 1996;Norway;84;1.87;755;1416;251;104;496;374
63;63;;Démare Arnaud;Team Arkéa Samsic;740;26th August 1991;France;76;1.81;740;6381;1518;475;7618;1842
64;64;;Kragh Andersen Søren;Alpecin - Deceuninck;729;10th August 1994;Denmark;73;1.78;729;1403;1271;1791;706;1260
65;65;;Meeus Jordi;BORA - hansgrohe;722;1st July 1998;Belgium;80;1.90;722;1266;81;30;1138;416
66;66;;van Poppel Danny;BORA - hansgrohe;711;26th July 1993;Netherlands;82;1.84;711;3023;583;393;4316;1074
67;67;;Wærenskjold Søren;Uno-X Pro Cycling Team;699;12th March 2000;Norway;92;1.95;699;296;340;482;312;86
68;68;;Welsford Sam;Team DSM;698;19th January 1996;Australia;79;1.80;698;482;180;78;815;26
69;69;;Coquard Bryan;Cofidis;697;25th April 1992;France;59;1.71;697;2856;1147;289;5242;1582
70;70;;Geoghegan Hart Tao;INEOS Grenadiers;695;30th March 1995;Great Britain;65;1.83;695;261;2397;829;100;2378
71;71;;Lampaert Yves;Soudal - Quick Step;694;10th April 1991;Belgium;75;1.80;694;3325;1359;2305;1665;853
72;72;;Mulubrhan Henok;Green Project-Bardiani CSF-Faizanè;691;11th November 1999;Eritrea;60;1.76;691;535;409;61;276;404
73;73;;Ulissi Diego;UAE Team Emirates;682;15th July 1989;Italy;63;1.75;682;4958;4882;1055;899;6882
74;74;;Wellens Tim;UAE Team Emirates;675;10th May 1991;Belgium;71;1.82;675;3409;3828;1140;284;3810
75;75;;Van Gils Maxim;Lotto Dstny;667;25th November 1999;Belgium;63;1.74;667;538;406;21;14;1076
76;76;;Großschartner Felix;UAE Team Emirates;662;23rd December 1993;Austria;64;1.84;662;425;2372;898;200;2118
77;77;;Kron Andreas;Lotto Dstny;662;1st June 1998;Denmark;63;1.77;662;740;439;6;6;1470
78;78;;Menten Milan;Lotto Dstny;653;31st October 1996;Belgium;68;1.74;653;1047;256;43;930;486
79;79;;Kämna Lennard;BORA - hansgrohe;651;9th September 1996;Germany;65;1.81;651;245;914;756;66;1984
80;80;;Molano Juan Sebastián;UAE Team Emirates;649;4th November 1994;Colombia;72;1.80;649;725;259;0;1752;472
81;81;;Strong Corbin;Israel - Premier Tech;646;30th April 2000;New Zealand;64;1.71;646;680;219;30;176;708
82;82;;Thomas Geraint;INEOS Grenadiers;645;25th May 1986;Great Britain;71;1.83;645;1262;6093;5263;909;5526
83;83;;Poels Wout;Bahrain - Victorious;639;1st October 1987;Netherlands;66;1.86;639;1023;4545;916;301;5524
84;84;;Skujiņš Toms;Trek - Segafredo;632;15th June 1991;Latvia;70;1.81;632;1934;867;311;708;1573
85;85;;de Kleijn Arvid;Tudor Pro Cycling Team;625;21st March 1994;Netherlands;68;1.71;625;911;91;4;2104;92
86;86;;Schmid Mauro;Soudal - Quick Step;622;4th December 1999;Switzerland;70;1.87;622;275;691;320;5;953
87;87;;Uijtdebroeks Cian;BORA - hansgrohe;615;28th February 2003;Belgium;68;;615;41;646;72;0;648
88;88;;Rota Lorenzo;Intermarché - Circus - Wanty;603;23rd May 1995;Italy;62;1.73;603;1505;759;23;143;1544
89;90;+1;Ewan Caleb;Lotto Dstny;598;11th July 1994;Australia;69;1.67;598;2472;280;148;5245;1509
90;91;+1;Milan Jonathan;Bahrain - Victorious;597;1st October 2000;Italy;84;1.93;597;63;80;77;404;416
91;89;-2;Matthews Michael;Team Jayco AlUla;593;26th September 1990;Australia;72;1.78;600;6685;832;1642;3278;6736
92;92;;Herrada Jesús;Cofidis;590;26th July 1990;Spain;70;1.83;590;1966;2270;862;461;2864
93;93;;Zana Filippo;Team Jayco AlUla;588;18th March 1999;Italy;65;1.85;588;316;720;29;13;762
94;94;;Stuyven Jasper;Trek - Segafredo;578;17th April 1992;Belgium;78;1.87;578;4273;1153;244;2066;2698
95;95;;van den Berg Marijn;EF Education - EasyPost;577;19th July 1999;Netherlands;73;1.82;577;424;182;49;480;419
96;96;;Alaphilippe Julian;Soudal - Quick Step;573;11th June 1992;France;62;1.73;573;6183;2491;1331;677;7327
97;97;;Penhoët Paul;Groupama - FDJ;573;28th December 2001;France;64;1.73;573;533;88;2;437;168
98;98;;Trentin Matteo;UAE Team Emirates;571;2nd August 1989;Italy;74;1.79;571;4915;712;288;2959;3572
99;99;;Sheffield Magnus;INEOS Grenadiers;570;19th April 2002;United States;74;1.83;570;292;610;627;40;414
100;100;;Jakobsen Fabio;Soudal - Quick Step;558;31st August 1996;Netherlands;78;1.81;558;1773;89;38;3553;351
101;101;;Carapaz Richard;EF Education - EasyPost;554;29th May 1993;Ecuador;62;1.70;554;1183;3164;439;101;4494
102;102;;Teunissen Mike;Intermarché - Circus - Wanty;544;25th August 1992;Netherlands;73;1.84;544;1747;1295;329;1479;996
103;103;;Martinez Lenny;Groupama - FDJ;541;11th July 2003;France;52;1.68;541;271;261;21;0;553
104;104;;Majka Rafał;UAE Team Emirates;539;12th September 1989;Poland;62;1.73;539;1167;5323;869;110;7216
105;105;;De Buyst Jasper;Lotto Dstny;530;24th November 1993;Belgium;72;1.79;530;1625;668;128;1241;679
106;106;;Zimmermann Georg;Intermarché - Circus - Wanty;530;11th October 1997;Germany;70;1.81;530;675;428;0;62;930
107;107;;Carthy Hugh;EF Education - EasyPost;527;9th July 1994;Great Britain;69;1.91;527;265;2622;407;31;2636
108;108;;Rodríguez Cristián;Team Arkéa Samsic;527;3rd March 1995;Spain;56;1.78;527;269;915;36;2;722
109;109;;Lazkano Oier;Movistar Team;527;7th November 1999;Spain;74;1.89;527;233;303;77;43;170
110;110;;Narváez Jhonatan;INEOS Grenadiers;525;4th March 1997;Ecuador;65;1.74;525;827;678;23;264;807
111;111;;Asgreen Kasper;Soudal - Quick Step;521;8th February 1995;Denmark;75;1.92;521;1531;673;2079;334;1322
112;112;;Haig Jack;Bahrain - Victorious;511;6th September 1993;Australia;67;1.90;511;655;2738;299;96;2829
113;113;;Tarling Joshua;INEOS Grenadiers;507;15th February 2004;Great Britain;78;1.94;507;5;120;500;0;10
114;114;;Girmay Biniam;Intermarché - Circus - Wanty;501;2nd April 2000;Eritrea;70;1.84;501;1703;43;90;574;954
115;115;;Cavagna Rémi;Soudal - Quick Step;498;10th August 1995;France;78;1.86;498;432;908;2496;192;700
116;116;;Barguil Warren;Team Arkéa Samsic;497;28th October 1991;France;61;1.83;497;2500;2840;109;212;4794
117;118;+1;Cort Magnus;EF Education - EasyPost;493;16th January 1993;Denmark;68;1.84;493;1032;1049;759;1824;2072
