Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
270;270;;Mollema Bauke;Trek - Segafredo;242;26th November 1986;Netherlands;64;1.85;242;4868;5905;2042;657;9616
271;271;;Hermans Quinten;Alpecin - Deceuninck;242;29th July 1995;Belgium;62;1.90;242;625;612;89;162;920
272;272;;Van Tricht Stan;Soudal - Quick Step;242;20th September 1999;Belgium;64;1.80;242;390;24;21;140;109
273;273;;Bystrøm Sven Erik;Intermarché - Circus - Wanty;241;21st January 1992;Norway;73;1.81;241;758;720;102;409;772
274;274;;Bax Sjoerd;UAE Team Emirates;241;6th January 1996;Netherlands;78;1.81;241;270;295;106;78;272
275;275;;Van de Paar Jarne;Lotto Dstny;237;23rd October 2000;Belgium;79;;237;85;112;0;354;0
276;276;;Sánchez Pelayo;Burgos-BH;237;27th March 2000;Spain;62;1.84;237;105;102;18;0;247
277;277;;Sheehan Riley;Israel - Premier Tech;236;16th June 2000;United States;67;1.74;236;199;25;35;73;40
278;278;;Martínez Daniel Felipe;INEOS Grenadiers;232;25th April 1996;Colombia;63;1.74;232;696;2409;995;34;2260
279;279;;Coté Pier-André;Human Powered Health;230;24th April 1997;Canada;;1.88;230;375;87;58;210;118
280;280;;Vermeersch Gianni;Alpecin - Deceuninck;228;19th November 1992;Belgium;68;1.85;228;1366;228;5;758;637
281;281;;Prodhomme Nicolas;AG2R Citroën Team;227;1st February 1997;France;62;1.87;227;53;317;12;13;330
282;282;;Aniołkowski Stanisław;Human Powered Health;225;20th January 1997;Poland;68;1.77;225;529;237;123;1076;268
283;283;;Mezgec Luka;Team Jayco AlUla;224;27th June 1988;Slovenia;72;1.82;224;1571;545;33;2960;1630
284;284;;Battistella Samuele;Astana Qazaqstan Team;223;14th November 1998;Italy;67;1.72;223;485;483;117;86;713
285;285;;Steinhauser Georg;EF Education - EasyPost;223;21st October 2001;Germany;65;1.81;223;115;125;88;0;192
286;286;;Neilands Krists;Israel - Premier Tech;222;18th August 1994;Latvia;69;1.73;222;678;659;250;223;660
287;287;;Schelling Ide;BORA - hansgrohe;222;6th February 1998;Netherlands;66;1.74;222;430;255;128;57;622
288;288;;Izagirre Gorka;Movistar Team;221;7th October 1987;Spain;66;1.81;221;1407;2350;764;268;2934
289;289;;De Plus Laurens;INEOS Grenadiers;221;4th September 1995;Belgium;67;1.83;221;217;949;366;20;902
290;290;;Tesfatsion Natnael;Trek - Segafredo;219;23rd May 1999;Eritrea;60;1.80;219;354;486;5;201;770
291;291;;Costiou Ewen;Team Arkéa Samsic;218;10th November 2002;France;64;;218;160;91;74;10;122
292;292;;Tivani German Nicolás;Team Corratec - Selle Italia;217;31st October 1995;Argentina;67;1.89;217;349;246;66;640;99
293;293;;Doull Owain;EF Education - EasyPost;214;2nd May 1993;Great Britain;71;1.82;214;637;449;261;475;332
294;294;;Foss Tobias;Jumbo-Visma;214;25th May 1997;Norway;74;1.76;214;95;539;1374;26;489
295;295;;Bonneu Kamiel;Team Flanders - Baloise;213;1st August 1999;Belgium;62;1.89;213;98;178;0;0;196
296;296;;Leitão Iúri;Caja Rural - Seguros RGA;212;3rd July 1998;Portugal;65;1.75;212;0;111;27;250;49
297;297;;Pasqualon Andrea;Bahrain - Victorious;210;2nd January 1988;Italy;68;1.76;210;2729;657;74;2469;1432
298;298;;Stüssi Colin;Team Vorarlberg;210;4th June 1993;Switzerland;68;1.76;210;103;385;62;134;342
299;299;;Vansevenant Mauri;Soudal - Quick Step;210;1st June 1999;Belgium;60;1.81;210;425;585;35;23;808
300;300;;Sagan Peter;TotalEnergies;209;26th January 1990;Slovakia;78;1.84;209;9426;1797;1335;9942;8244
301;301;;Renard Alexis;Cofidis;209;1st June 1999;France;74;1.78;209;243;227;31;243;78
302;302;;Carstensen Lucas;Roojai Online Insurance;206;16th June 1994;Germany;69;1.75;206;55;185;47;1378;70
303;303;;Wright Fred;Bahrain - Victorious;206;13th June 1999;Great Britain;75;1.74;206;371;206;375;122;971
304;304;;Hermans Ben;Israel - Premier Tech;205;8th June 1986;Belgium;72;1.87;205;1612;3434;617;902;2510
305;305;;Rougier-Lagane Christopher;Team MCB;205;24th September 1998;Mauritius;69;1.75;205;72;79;215;23;15
